file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uf50-01.cnf,45,278,23,34,0.017768,0.01705,0.002562,SAT
uf50-010.cnf,16,77,7,7,0.00946,0.009368,0.000273,SAT
uf50-0100.cnf,59,387,7,47,0.031982,0.031302,0.00164,SAT
uf50-01000.cnf,102,708,11,90,0.048198,0.047984,0.000612,SAT
uf50-0101.cnf,16,103,6,7,0.009001,0.008997,3.7e-05,SAT
uf50-0102.cnf,38,312,6,32,0.018515,0.01844,0.00036,SAT
uf50-0103.cnf,42,279,12,32,0.01957,0.01948,0.000348,SAT
uf50-0104.cnf,70,471,19,61,0.032631,0.032535,0.00034,SAT
uf50-0105.cnf,46,378,11,37,0.023636,0.023555,0.000362,SAT
uf50-0106.cnf,4,45,0,0,0.003668,0.003668,2.7e-05,SAT
uf50-0107.cnf,41,279,10,32,0.020918,0.020854,0.000336,SAT
uf50-0108.cnf,20,120,7,8,0.008882,0.008818,0.000324,SAT
uf50-0109.cnf,107,803,23,92,0.045457,0.045295,0.000468,SAT
uf50-011.cnf,71,555,13,63,0.032895,0.032811,0.000346,SAT
uf50-0110.cnf,104,653,20,93,0.050139,0.049945,0.000526,SAT
uf50-0111.cnf,9,60,2,2,0.005611,0.005598,4.2e-05,SAT
uf50-0112.cnf,61,420,11,49,0.029843,0.029686,0.000465,SAT
uf50-0113.cnf,94,648,15,86,0.049082,0.048934,0.000469,SAT
uf50-0114.cnf,20,111,7,10,0.011117,0.011052,0.000305,SAT
uf50-0115.cnf,64,426,7,53,0.032422,0.032199,0.000563,SAT
uf50-0116.cnf,23,148,17,14,0.010817,0.010747,0.000324,SAT
uf50-0117.cnf,12,71,8,3,0.006257,0.006251,2.8e-05,SAT
uf50-0118.cnf,49,279,11,40,0.022722,0.022398,0.00072,SAT
uf50-0119.cnf,50,382,2,42,0.027584,0.027432,0.000466,SAT
uf50-012.cnf,10,41,4,1,0.005638,0.00564,2.4e-05,SAT
uf50-0120.cnf,33,189,3,22,0.017649,0.017557,0.000341,SAT
uf50-0121.cnf,14,82,2,3,0.009741,0.009734,4.5e-05,SAT
uf50-0122.cnf,194,1403,41,180,0.085443,0.085173,0.000627,SAT
uf50-0123.cnf,96,642,24,83,0.038532,0.038343,0.000591,SAT
uf50-0124.cnf,53,378,5,44,0.029196,0.029118,0.000344,SAT
uf50-0125.cnf,55,334,7,45,0.027881,0.027735,0.000478,SAT
uf50-0126.cnf,94,734,25,83,0.043927,0.043791,0.000447,SAT
uf50-0127.cnf,88,566,13,79,0.044954,0.044814,0.000456,SAT
uf50-0128.cnf,67,579,7,58,0.035889,0.035717,0.000469,SAT
uf50-0129.cnf,146,854,3,132,0.063879,0.063515,0.000896,SAT
uf50-013.cnf,147,1043,24,138,0.070432,0.070133,0.000681,SAT
uf50-0130.cnf,60,405,8,53,0.030498,0.030389,0.00036,SAT
uf50-0131.cnf,102,723,30,86,0.050282,0.049995,0.000576,SAT
uf50-0132.cnf,29,186,15,21,0.013143,0.013139,0.000108,SAT
uf50-0133.cnf,38,308,4,32,0.022033,0.021916,0.000403,SAT
uf50-0134.cnf,57,447,10,47,0.026242,0.026083,0.000487,SAT
uf50-0135.cnf,30,160,11,19,0.013014,0.012989,0.0001,SAT
uf50-0136.cnf,49,396,3,39,0.027362,0.027166,0.000512,SAT
uf50-0137.cnf,110,789,9,99,0.054143,0.053988,0.000485,SAT
uf50-0138.cnf,40,268,4,30,0.017939,0.017871,0.000315,SAT
uf50-0139.cnf,12,46,4,1,0.006878,0.006842,0.000133,SAT
uf50-014.cnf,68,548,13,56,0.037666,0.037482,0.000472,SAT
uf50-0140.cnf,11,60,3,2,0.007903,0.007902,3.5e-05,SAT
uf50-0141.cnf,75,455,18,60,0.03208,0.031936,0.000466,SAT
uf50-0142.cnf,42,240,13,33,0.018098,0.01783,0.000977,SAT
uf50-0143.cnf,43,314,12,32,0.022576,0.022434,0.000455,SAT
uf50-0144.cnf,84,633,8,75,0.04248,0.042235,0.000614,SAT
uf50-0145.cnf,47,289,7,37,0.022762,0.022607,0.000519,SAT
uf50-0146.cnf,44,237,8,37,0.022499,0.021586,0.002633,SAT
uf50-0147.cnf,44,266,7,29,0.022917,0.022839,0.000328,SAT
uf50-0148.cnf,25,145,1,18,0.015291,0.014658,0.002003,SAT
uf50-0149.cnf,30,184,15,18,0.014391,0.01438,8.5e-05,SAT
uf50-015.cnf,26,202,9,17,0.012902,0.012804,0.000365,SAT
uf50-0150.cnf,37,162,18,24,0.018164,0.018064,0.000357,SAT
uf50-0151.cnf,56,462,4,49,0.032533,0.032444,0.000389,SAT
uf50-0152.cnf,9,48,8,1,0.005777,0.005775,4.2e-05,SAT
uf50-0153.cnf,87,574,16,76,0.042205,0.041999,0.00053,SAT
uf50-0154.cnf,39,323,10,33,0.020998,0.020978,7.4e-05,SAT
uf50-0155.cnf,25,197,1,16,0.012544,0.012464,0.000332,SAT
uf50-0156.cnf,48,357,14,41,0.026044,0.025968,0.00035,SAT
uf50-0157.cnf,31,218,8,19,0.01692,0.016647,0.000714,SAT
uf50-0158.cnf,19,139,4,9,0.011106,0.01111,4.9e-05,SAT
uf50-0159.cnf,18,126,5,7,0.009903,0.009828,0.000337,SAT
uf50-016.cnf,31,173,10,20,0.016142,0.016118,0.000106,SAT
