file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uuf50-01.cnf,175,1225,4,175,0.089604,0.08925,0.003359,UNSAT
uuf50-010.cnf,71,562,15,71,0.039741,0.039514,0.00083,UNSAT
uuf50-0100.cnf,79,518,6,79,0.041494,0.041376,0.000519,UNSAT
uuf50-01000.cnf,153,994,6,153,0.077767,0.077402,0.000786,UNSAT
uuf50-0101.cnf,89,713,17,89,0.045862,0.045716,0.000514,UNSAT
uuf50-0102.cnf,115,710,9,115,0.059467,0.056733,0.006156,UNSAT
uuf50-0103.cnf,99,756,1,99,0.056802,0.056548,0.000569,UNSAT
uuf50-0104.cnf,117,796,14,117,0.05951,0.059326,0.000515,UNSAT
uuf50-0105.cnf,69,521,5,69,0.038972,0.038769,0.003644,UNSAT
uuf50-0106.cnf,111,739,4,111,0.057734,0.057552,0.000504,UNSAT
uuf50-0107.cnf,129,922,13,129,0.070994,0.070657,0.000876,UNSAT
uuf50-0108.cnf,119,827,7,119,0.063702,0.063389,0.000632,UNSAT
uuf50-0109.cnf,115,674,17,115,0.053268,0.05317,0.000439,UNSAT
uuf50-011.cnf,65,521,0,65,0.039142,0.038994,0.000481,UNSAT
uuf50-0110.cnf,163,1140,15,163,0.079838,0.077654,0.00539,UNSAT
uuf50-0111.cnf,155,1084,27,155,0.070867,0.070686,0.000538,UNSAT
uuf50-0112.cnf,149,1000,30,149,0.067318,0.067096,0.000609,UNSAT
uuf50-0113.cnf,151,1002,3,151,0.078124,0.077914,0.000674,UNSAT
uuf50-0114.cnf,119,811,11,119,0.057751,0.057562,0.000561,UNSAT
uuf50-0115.cnf,103,702,10,103,0.056859,0.056701,0.000518,UNSAT
uuf50-0116.cnf,103,672,4,103,0.054568,0.054428,0.000466,UNSAT
uuf50-0117.cnf,89,687,4,89,0.050463,0.050296,0.000573,UNSAT
uuf50-0118.cnf,121,900,15,121,0.059005,0.058855,0.00047,UNSAT
uuf50-0119.cnf,187,1487,14,187,0.090589,0.090327,0.000655,UNSAT
uuf50-012.cnf,177,1112,3,177,0.093098,0.092871,0.000571,UNSAT
uuf50-0120.cnf,151,1044,8,151,0.073214,0.073055,0.000605,UNSAT
uuf50-0121.cnf,91,635,7,91,0.049507,0.049381,0.000425,UNSAT
uuf50-0122.cnf,87,695,6,87,0.050406,0.050156,0.000605,UNSAT
uuf50-0123.cnf,169,1116,14,169,0.077861,0.077683,0.000557,UNSAT
uuf50-0124.cnf,211,1413,10,211,0.108049,0.107771,0.000752,UNSAT
uuf50-0125.cnf,89,561,3,89,0.048009,0.047645,0.001204,UNSAT
uuf50-0126.cnf,57,388,9,57,0.029532,0.02942,0.000416,UNSAT
uuf50-0127.cnf,111,840,11,111,0.054699,0.054554,0.000512,UNSAT
uuf50-0128.cnf,93,654,10,93,0.046981,0.04692,0.000434,UNSAT
uuf50-0129.cnf,101,759,7,101,0.049614,0.049519,0.000504,UNSAT
uuf50-013.cnf,81,636,9,81,0.043419,0.043228,0.000509,UNSAT
uuf50-0130.cnf,103,764,18,103,0.053582,0.053391,0.00055,UNSAT
uuf50-0131.cnf,161,1066,17,161,0.081779,0.081644,0.000698,UNSAT
uuf50-0132.cnf,93,816,3,93,0.051662,0.051526,0.00046,UNSAT
uuf50-0133.cnf,91,702,3,91,0.050225,0.050104,0.000443,UNSAT
uuf50-0134.cnf,41,385,8,41,0.024671,0.024601,0.000345,UNSAT
uuf50-0135.cnf,125,841,8,125,0.062014,0.061862,0.000622,UNSAT
uuf50-0136.cnf,131,951,13,131,0.066274,0.06611,0.000563,UNSAT
uuf50-0137.cnf,117,815,21,117,0.056737,0.056585,0.000511,UNSAT
uuf50-0138.cnf,79,561,1,79,0.045275,0.044404,0.002993,UNSAT
uuf50-0139.cnf,113,810,5,113,0.063475,0.062666,0.002497,UNSAT
uuf50-014.cnf,83,532,1,83,0.046837,0.046696,0.000435,UNSAT
uuf50-0140.cnf,73,576,2,73,0.038967,0.038812,0.000484,UNSAT
uuf50-0141.cnf,125,839,10,125,0.051802,0.051676,0.00048,UNSAT
uuf50-0142.cnf,175,1233,30,175,0.082141,0.081859,0.000619,UNSAT
uuf50-0143.cnf,125,820,16,125,0.057231,0.057083,0.000524,UNSAT
uuf50-0144.cnf,123,868,3,123,0.064333,0.064125,0.000545,UNSAT
uuf50-0145.cnf,81,600,6,81,0.041645,0.041511,0.000507,UNSAT
uuf50-0146.cnf,53,281,5,53,0.027182,0.02712,0.000337,UNSAT
uuf50-0147.cnf,217,1560,31,217,0.092861,0.092615,0.000646,UNSAT
uuf50-0148.cnf,147,1244,13,147,0.076025,0.075759,0.000648,UNSAT
uuf50-0149.cnf,127,863,7,127,0.064611,0.064374,0.00056,UNSAT
uuf50-015.cnf,99,718,9,99,0.054907,0.054713,0.000504,UNSAT
uuf50-0150.cnf,127,1060,8,127,0.068886,0.068768,0.000567,UNSAT
uuf50-0151.cnf,57,478,4,57,0.034628,0.034513,0.000449,UNSAT
uuf50-0152.cnf,175,1201,13,175,0.083126,0.082894,0.000643,UNSAT
uuf50-0153.cnf,161,1110,15,161,0.076515,0.07635,0.000639,UNSAT
uuf50-0154.cnf,159,1142,19,159,0.080865,0.080692,0.000559,UNSAT
uuf50-0155.cnf,109,858,2,109,0.064828,0.064625,0.000572,UNSAT
uuf50-0156.cnf,73,594,6,73,0.039021,0.038888,0.000417,UNSAT
uuf50-0157.cnf,95,763,15,95,0.048826,0.048694,0.00047,UNSAT
uuf50-0158.cnf,103,685,10,103,0.056171,0.056013,0.000492,UNSAT
uuf50-0159.cnf,169,1104,13,169,0.082846,0.082605,0.000656,UNSAT
uuf50-016.cnf,89,569,6,89,0.040594,0.040487,0.000483,UNSAT
uuf50-0160.cnf,111,931,7,111,0.057809,0.057666,0.00048,UNSAT
uuf50-0161.cnf,181,1241,22,181,0.0871,0.086861,0.000636,UNSAT
uuf50-0162.cnf,103,749,8,103,0.055807,0.055705,0.000447,UNSAT
uuf50-0163.cnf,185,1373,17,185,0.094365,0.094037,0.000705,UNSAT
uuf50-0164.cnf,117,795,12,117,0.058121,0.05798,0.00044,UNSAT
uuf50-0165.cnf,171,957,29,171,0.066321,0.066114,0.000599,UNSAT
uuf50-0166.cnf,99,761,12,99,0.054591,0.054407,0.000543,UNSAT
uuf50-0167.cnf,107,709,10,107,0.053429,0.053287,0.000485,UNSAT
uuf50-0168.cnf,143,1087,9,143,0.078404,0.078229,0.000521,UNSAT
uuf50-0169.cnf,75,498,32,75,0.036419,0.036287,0.000482,UNSAT
uuf50-017.cnf,121,651,14,121,0.059072,0.059002,0.000417,UNSAT
uuf50-0170.cnf,149,1034,9,149,0.080647,0.080423,0.000568,UNSAT
uuf50-0171.cnf,205,1464,19,205,0.096256,0.09605,0.000671,UNSAT
uuf50-0172.cnf,51,405,0,51,0.032241,0.032158,0.000395,UNSAT
uuf50-0173.cnf,163,1053,24,163,0.084926,0.084739,0.000635,UNSAT
uuf50-0174.cnf,85,545,4,85,0.045399,0.045149,0.000582,UNSAT
uuf50-0175.cnf,127,792,12,127,0.065139,0.064989,0.000542,UNSAT
uuf50-0176.cnf,141,1160,15,141,0.067887,0.067699,0.00057,UNSAT
uuf50-0177.cnf,117,853,1,117,0.063824,0.06348,0.000866,UNSAT
uuf50-0178.cnf,211,1472,17,211,0.10054,0.100233,0.000656,UNSAT
